Brand,Product Title,Product Link,MRP,Selling Price,Number of Rating,Star Rating,description,Link of the Images,Number of Images,List of comments,Seller Name
Juniors by Lifestyle,Boys Printed Cotton Regular Fit Shorts,http://myntra.com//shorts/jack+%26+jones+junior/jack--jones-junior-boys-striped-mid-rise-shorts/28470682/buy,,299,,,"Product Details  Red solid printed mid-rise regular shorts, has 2 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28777938/2024/4/8/297f3baf-6489-4868-b38c-319c8c581b081712579585319JuniorsbyLifestyleBoysPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28777938/2024/4/8/16631af1-1b5a-4868-a990-f7ab0a05d6631712579585346JuniorsbyLifestyleBoysPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28777938/2024/4/8/f54f3e7f-fff4-466d-b433-3700c12def8c1712579585358JuniorsbyLifestyleBoysPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28777938/2024/4/8/bbe4ae55-51d4-45e5-8f87-6f454541ac361712579585333JuniorsbyLifestyleBoysPrintedShorts4.jpg']",4,,LANDMARK ONLINE INDIA PVT LTD
Gini and Jony,Boys Mid Rise Cotton Shorts,http://myntra.com//shorts/gini+and+jony/gini-and-jony-boys-mid-rise-cotton-shorts/28538892/buy,1499,869,,,"Product Details  Beige solid mid-rise regular shorts, has 4 pockets, button closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Button Print or Pattern Type Solid Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24634350/2023/8/24/ee77638a-36a0-474e-b610-af3e0185d3ae1692880180084GiniandJonyBoysBeigeShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24634350/2023/8/24/ff635f6b-261d-469f-94c1-47673966e13d1692880180025GiniandJonyBoysBeigeShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24634350/2023/8/24/492b899d-64c7-4225-8f20-62b41c7fdf3f1692880180062GiniandJonyBoysBeigeShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24634350/2023/8/24/03632192-fffa-4199-9904-c0d7528b59101692880180044GiniandJonyBoysBeigeShorts4.jpg']",4,,GINI & JONY  LIMITED
Zalio,Boys Striped Pure Cotton Denim Shorts,http://myntra.com//shorts/zalio/zalio-boys-olive-green-cargo-shorts/18429078/buy,999,449,10,4.6,"Product Details  Blue striped mid-rise denim shorts, has 5 pockets, button closure Material & Care Pure Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Denim Shorts Closure Button Print or Pattern Type Striped Fit Regular Fit Number of Pockets 5 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23406174/2023/5/26/04203f15-50cf-4657-ad56-73b5c9669c4f1685078731333ZalioBoysBlueStripedDenimDenimShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23406174/2023/5/26/59504b60-e0a0-4a87-8d4b-f505d467d5211685078731325ZalioBoysBlueStripedDenimDenimShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23406174/2023/5/26/bfc657a5-a9ba-4082-88b5-0f55dce4fd731685078731316ZalioBoysBlueStripedDenimDenimShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23406174/2023/5/26/ba61c58c-afc5-49e8-bdfc-a11083d34d4f1685078731296ZalioBoysBlueStripedDenimDenimShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23406174/2023/5/26/d0374ed3-4b40-446c-a818-a377bc0dd4df1685078731307ZalioBoysBlueStripedDenimDenimShorts5.jpg']",5,['Go for one size bigger.. Material is good'],Ammayapper Textiles Private Limited
Pantaloons Junior,Boys Self Design Shorts,http://myntra.com//shorts/mini+klub/mini-klub-boys-mid-rise-cotton-shorts/28555226/buy,,699,,,"Product Details  Navy blue self design mid-rise regular shorts, has 4 pockets, button closure Material & Care 97% Cotton, 3% Spandex Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Button Print or Pattern Type Self Design Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28714318/2024/4/4/32ead177-baca-4d8c-8113-e8144ef2f9891712239726255PantaloonsJuniorBoysShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28714318/2024/4/4/2789fc5e-3ac1-44c1-84f4-c41f8a20f3bc1712239726276PantaloonsJuniorBoysShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28714318/2024/4/4/bbbb2544-ed9b-4149-b0b0-710280d767d81712239726287PantaloonsJuniorBoysShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28714318/2024/4/4/d1e34964-77f7-4b40-a212-5ba3a85325a81712239726265PantaloonsJuniorBoysShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
KiddoPanti,Boys Mid-Rise Regular Shorts,http://myntra.com//shorts/ed-a-mamma/ed-a-mamma-boys-mid-rise-knee-length-cotton-shorts/22198366/buy,899,611,,,"Product Details  Black solid mid-rise regular shorts,  has 4 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22244676/2023/3/7/7755dd2e-2a69-4854-8a80-50c1d4f7b10e1678179208065KiddoPantiBoysBlackShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22244676/2023/3/7/6cf2cedf-1412-44aa-91af-a99376fee8691678179208081KiddoPantiBoysBlackShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22244676/2023/3/7/7c5f19c8-51e6-4503-9599-ba02399f5ba71678179208097KiddoPantiBoysBlackShorts3.jpg']",3,"['Product same as in pic … washed multiple timea … looks brand new ?', 'Accurate to size... material is gud', 'Quality product.']",Krimson Apparel Private Limited
Cantabil,Boys Black Shorts,http://myntra.com//shorts/dollar/dollar-boys-multicoloured-shorts/17242672/buy,999,349,40,4.3,"Product Details  Black solid mid-rise regular shorts,  has 3 pockets, drawstring closure Size & Fit Regular Fit  Material & Care Cotton Gentle Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17902038/2022/4/16/34847d31-d550-4f26-b8de-c06720bc6ddf1650109293733CantabilBoysBlackShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17902038/2022/4/16/59b1cd38-fdac-4aa5-b74e-9a61e01419b11650109293722CantabilBoysBlackShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17902038/2022/4/16/099aa789-0d3e-4629-be12-0e3f3a64fdb61650109293744CantabilBoysBlackShorts3.jpg']",3,"['Quality of material not great', 'Good product', 'Okayish']",Cantabil Retail India Limited
Gini and Jony,Boys Mid-Rise Washed Denim Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-washed-denim-shorts/24224966/buy,1299,753,21,4.4,"Product Details  Blue washed solid mid-rise denim shorts, has 4 pockets, button closure Material & Care Denim Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Denim Shorts Closure Button Print or Pattern Type Washed Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22750030/2023/4/13/d521e2cb-ee5a-4162-9c94-517a2c96b6f81681373417433GiniandJonyBoysBlueWashedDenimShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22750030/2023/4/13/cbd7b3b5-2ea3-408a-9514-dcb6c5a799da1681373417445GiniandJonyBoysBlueWashedDenimShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22750030/2023/4/13/0a7e3710-5576-43a1-a9b0-b65f2ecd5d581681373417476GiniandJonyBoysBlueWashedDenimShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22750030/2023/4/13/d7ab8dd1-2228-43a5-8674-117e3aa093d01681373417461GiniandJonyBoysBlueWashedDenimShorts4.jpg']",4,"['Good quality ?', 'Excellent article']",GINI & JONY  LIMITED
KiddoPanti,Boys Olive Green High-Rise Cotton Shorts,http://myntra.com//shorts/kiddopanti/kiddopanti-boys-mid-rise-twill-pure-cotton-cargo-shorts/23347670/buy,649,486,32,4.6,"Product Details  Olive green solid high-rise regular shorts, has 4 pockets, drawstring closure Size & Fit Regular Fit  Material & Care Cotton Machine Wash Specifications Waist Rise High-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20711072/2022/11/12/7068ae4d-557e-456c-9bd5-8a5c7cd7f41e1668225647668KiddoPantiBoysGreenHigh-RiseShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20711072/2022/11/12/23933240-9d68-4cff-99d7-f060cb76ee891668225647654KiddoPantiBoysGreenHigh-RiseShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20711072/2022/11/12/16489d24-9da6-48e0-85e0-dcd280d736481668225647681KiddoPantiBoysGreenHigh-RiseShorts3.jpg']",3,"['Nice for daily purpose. Not for party wear. I want denim shorts', 'Thin but good quality summer perfect', 'Loved it. Soft material bright colours']",Krimson Apparel Private Limited
Jockey,Boys Super Combed Cotton Rich Graphic Printed Shorts With Drawstring Clouser - AB12,http://myntra.com//shorts/jockey/jockey-boys-super-combed-cotton-rich-graphic-printed-shorts-with-drawstring-clouser---ab11/17073518/buy,,629,8,4.8,"Product Details  Olive green solid mid-rise regular shorts, has 2 pockets, drawstring closure Size & Fit Regular Fit  Material & Care Cotton Machine Wash at 40 c Do not dry clean Do not bleach Medium iron Line dry in shade Wash in like colours Wash inside out Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17073522/2024/2/12/5d573e02-0d89-4da9-83b7-65b4d16f67371707740230418JockeyBoysOliveGreenCottonShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17073522/2024/2/12/a6d973b7-aca7-434a-8625-a4b344e770801707740230425JockeyBoysOliveGreenCottonShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17073522/2024/2/12/141e4dd7-de22-4a8a-bb4b-ec8bb67699981707740230431JockeyBoysOliveGreenCottonShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17073522/2024/2/12/10c27f41-1119-48a7-89a9-f890741c0b6d1707740230437JockeyBoysOliveGreenCottonShorts4.jpg']",4,,Page Industries Ltd
HELLCAT,Boys Pack Of 3 Typography Printed Regular Shorts,http://myntra.com//shorts/hellcat/hellcat-boys-pack-of-3-typography-printed-regular-shorts/22319006/buy,2997,599,,,"Product Details  Pack of 3 Grey, pink & navy blue typography printed solid mid-rise sports shorts, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Typography Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319018/2023/3/15/2cf3503c-2024-4f12-829a-c7e6076a63321678866417955HELLCATBoysGreyTypographySportsShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319018/2023/3/15/57dbd8b1-404b-4993-899e-00ca4dc2cea31678866417971HELLCATBoysGreyTypographySportsShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319018/2023/3/15/b9e22db1-3aa4-4c70-9a58-c01ba7dc050f1678866417987HELLCATBoysGreyTypographySportsShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319018/2023/3/15/10316b08-efd3-41fc-8ddc-3e28de2bdb321678866418003HELLCATBoysGreyTypographySportsShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319018/2023/3/15/e772f485-c048-4325-80ba-25c5e2cf614e1678866418018HELLCATBoysGreyTypographySportsShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319018/2023/3/15/9234328b-f39b-4813-8e67-277bd384b6af1678866418031HELLCATBoysGreyTypographySportsShorts6.jpg']",6,['Good \nQuality'],Bodyglove Apparel India
Pantaloons Junior,Boys Graphic Printed Pure Cotton Shorts,http://myntra.com//shorts/coolsters+by+pantaloons/coolsters-by-pantaloons-boys-graphic-printed-pure-cotton-shorts/28485020/buy,,299,,,"Product Details  Green graphic printed mid-rise regular shorts,  has 2 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Graphic Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29041004/2024/4/18/11f077fa-3c46-49ea-acb6-271bc7abd05d1713442773124PantaloonsJuniorBoysPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29041004/2024/4/18/0900c82f-39b1-402b-9425-f212a488275b1713442773159PantaloonsJuniorBoysPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29041004/2024/4/18/52eb314b-5a43-4ffb-bb14-403076e2ff9f1713442773178PantaloonsJuniorBoysPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29041004/2024/4/18/d977d6b4-93d0-4969-bd66-50eb77c436991713442773141PantaloonsJuniorBoysPrintedShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
Indian Terrain,Boys Washed Pure Cotton Shorts,http://myntra.com//shorts/u.s.+polo+assn.+kids/us-polo-assn-kids-boys-slim-fit-shorts/22020326/buy,1199,479,,,"Product Details  Off white and black washed mid-rise regular shorts, has 2 pockets, drawstring closure Material & Care 100% Cotton Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Washed Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25779702/2024/3/29/e93a9ae2-3079-44c3-a95b-55c4868288cc1711688538055-Indian-Terrain-Boys-Shorts-6401711688537858-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25779702/2024/3/29/3e0d340f-6bb5-4d9c-81f1-a901d91ef91d1711688538046-Indian-Terrain-Boys-Shorts-6401711688537858-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25779702/2024/3/29/316d1a17-5ee2-4ae3-b98b-76816c2d9bb31711688538037-Indian-Terrain-Boys-Shorts-6401711688537858-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25779702/2024/3/29/0563df84-9ea2-4103-9cc9-0f1fdab8d6291711688538027-Indian-Terrain-Boys-Shorts-6401711688537858-4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25779702/2024/3/29/01f7541d-c498-440c-9c09-42b08546a6b61711688538017-Indian-Terrain-Boys-Shorts-6401711688537858-5.jpg']",5,,Kapsons Retail Pvt. Ltd.
Pantaloons Junior,Boys Mid-Rise Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-mid-rise-shorts/28714316/buy,,699,,,"Product Details  Blue solid mid-rise regular shorts, has 4 pockets, button closure Material & Care 97% Cotton, 3% Spandex Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Button Print or Pattern Type Solid Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28682962/2024/4/4/97a6b266-dc9c-45de-bb85-a7afd74c72371712218135296PantaloonsJuniorBoysShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28682962/2024/4/4/391ee049-fa3e-4c3f-a708-afcbfb4666fe1712218135320PantaloonsJuniorBoysShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28682962/2024/4/4/967764a7-8adb-410b-99d4-e25bf2076bc91712218135331PantaloonsJuniorBoysShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28682962/2024/4/4/814f38e6-bcfd-44bd-ad21-cd15433e33d81712218135308PantaloonsJuniorBoysShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
F&S,Boys Mid-Rise Rapid-Dry Shorts,http://myntra.com//shorts/provogue/provogue-boys-typography-printed-mid-rise-outdoor-shorts/22958504/buy,1398,699,,,"Product Details  Black solid high-rise outdoor regular shorts,  has 2 pockets, drawstring closure engineered with rapid-dry technology Material & Care Polyester Machine-wash Specifications Waist Rise High-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067766/2023/7/18/f628dcc4-8818-4450-909a-298aec7645d81689677898679FSBoysBlackHigh-RiseOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067766/2023/7/18/9356c6ad-8a97-4113-99b8-fef465fc8fdb1689677898650FSBoysBlackHigh-RiseOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067766/2023/7/18/1c12d9d4-b2fc-40a2-abbe-73fc1071dc601689677898722FSBoysBlackHigh-RiseOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067766/2023/7/18/32f48d1c-f56b-4693-a5d1-b3457a7d45cd1689677898709FSBoysBlackHigh-RiseOutdoorShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067766/2023/7/18/e83e3fca-457c-431e-97ea-9440cffc67511689677898695FSBoysBlackHigh-RiseOutdoorShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067766/2023/7/18/c5e5a7d2-c183-4388-b8b1-b6fa7a86b42a1689677898635FSBoysBlackHigh-RiseOutdoorShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067766/2023/7/18/e43cd148-30d2-4ca0-9f06-b5c168bfe1601689677898665FSBoysBlackHigh-RiseOutdoorShorts7.jpg']",7,,NARENDRA EMPORIS LIMITED
Pantaloons Junior,Boys Conversational Printed Cotton Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-conversational-printed-cotton-shorts/27331548/buy,,699,,,"Product Details  Rust conversational printed mid-rise regular shorts,  has 2 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Conversational Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880804/2024/4/12/d17ceb08-4143-4b9d-8fa4-ce707261251e1712910857959PantaloonsJuniorBoysConversationalPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880804/2024/4/12/9903b5d6-bc05-4cc9-b092-6da5ea4274571712910858011PantaloonsJuniorBoysConversationalPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880804/2024/4/12/1987cd91-a5c3-4ead-b2b9-fc91096a67131712910858038PantaloonsJuniorBoysConversationalPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880804/2024/4/12/e59517b5-4476-41f0-915f-8b513bd370b31712910857982PantaloonsJuniorBoysConversationalPrintedShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
ONE SKY,Boys Mid-Rise Cotton Regular Fit Shorts,http://myntra.com//shorts/ed-a-mamma/ed-a-mamma-boys-red-striped-shorts/18491588/buy,666,259,3,3,"Product Details  Grey solid mid-rise regular shorts,  has 2 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28759346/2024/4/6/b0437882-aa5e-4cb2-a1bd-8463b27e12e81712412425794ONESKYBoysShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28759346/2024/4/6/fe1bf5ab-ed66-4acb-a5ef-099b6f816f971712412425839ONESKYBoysShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28759346/2024/4/6/1a166d5a-740d-4106-9567-566aee440ab61712412425890ONESKYBoysShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28759346/2024/4/6/cde0ac96-d6c0-408f-8856-96633626ba1d1712412425815ONESKYBoysShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28759346/2024/4/6/f2a371be-b21d-4a85-ad2a-13204819348e1712412425864ONESKYBoysShorts5.jpg']",5,"['The cotton is really good but the sizes are small .', 'Cloth quality is very good']",SKY INTERNATIONAL LLP
Pantaloons Junior,Boys Washed Denim Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-washed-denim-shorts/27331542/buy,,599,,,"Product Details  Blue washed mid-rise denim shorts, has 5 pockets, button closure Material & Care 70% Cotton, 28% Polyester, 2% Elastane Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Denim Shorts Closure Button Print or Pattern Type Washed Fit Regular Fit Number of Pockets 5 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28185298/2024/3/11/09726a21-aeb8-4c37-b45e-79b35377f1c71710154354881PantaloonsJuniorBoysDenimShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28185298/2024/3/11/4d8ecd0f-6ad9-4c7a-b524-82f3b1f23cfa1710154354955PantaloonsJuniorBoysDenimShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28185298/2024/3/11/4496d632-6e49-4ce1-a43c-dc28c5e2efcc1710154354929PantaloonsJuniorBoysDenimShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28185298/2024/3/11/67387e92-47b6-4c15-8f6e-10e6a22e39ab1710154354903PantaloonsJuniorBoysDenimShorts4.jpg']",4,"['Stylist and good quality', 'Nice quality']",Westbury Holdings Pvt Ltd_Pantaloons
Pantaloons Junior,Boys Regular Fit Mid-rise Cotton Regular Shorts,http://myntra.com//shorts/max/max-boys-beige-conversational-printed-shorts/25221300/buy,,599,21,4.6,"Product Details  Khaki solid mid-rise regular shorts, has 3 pockets, drawstring closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24224972/2023/7/27/0b2c371c-3d38-48fe-930e-8c8c65a7f8911690444608294Shorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24224972/2023/7/27/f82e9c02-2f6f-4faf-9fc2-b51fdca6beb91690444608309Shorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24224972/2023/7/27/ff44d6d2-6d63-44e1-b520-c479a5413d511690444608278Shorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24224972/2023/7/27/12002568-b6ee-435c-bfa8-ae8e8622fa951690444608263Shorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
KiddoPanti,Boys Mid-Rise Pure Cotton Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-mid-rise-pure-cotton-shorts/27331546/buy,599,449,23,4.4,"Product Details  Black solid mid-rise regular shorts,  has 2 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23081054/2023/5/30/be99551d-0d79-48fb-9d7f-37a674dd8a3b1685425799921-KiddoPanti-Boys-Mid-Rise-Pure-Cotton-Shorts-4461685425799542-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23081054/2023/5/30/fe685b26-fbc1-465a-b656-3ffea12af9be1685425799899-KiddoPanti-Boys-Mid-Rise-Pure-Cotton-Shorts-4461685425799542-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23081054/2023/5/30/c158395c-77b3-4d24-a999-57a1fe0080bc1685425799874-KiddoPanti-Boys-Mid-Rise-Pure-Cotton-Shorts-4461685425799542-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23081054/2023/5/30/b93dfeee-e950-48d9-b8f8-db4a681e60df1685425799847-KiddoPanti-Boys-Mid-Rise-Pure-Cotton-Shorts-4461685425799542-4.jpg']",4,['Very classy'],Krimson Apparel Private Limited
Pantaloons Junior,Boys Graphic Printed Pure Cotton Shorts,http://myntra.com//shorts/coolsters+by+pantaloons/coolsters-by-pantaloons-boys-graphic-printed-pure-cotton-shorts/28485020/buy,,499,,,"Product Details  White, green, blue graphic printed mid-rise regular shorts, has 3 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Graphic Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28485048/2024/3/23/21dd06c8-3417-4de3-ab85-f6b0649a1e151711184461594PantaloonsJuniorBoysPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28485048/2024/3/23/447ee1e8-14ee-4f98-a787-8e8a57102b911711184461645PantaloonsJuniorBoysPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28485048/2024/3/23/75b785bd-6624-46f4-86c3-ad904b5d1d7b1711184461672PantaloonsJuniorBoysPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28485048/2024/3/23/fe1a681f-16ea-461e-a88a-be85c5cecbf71711184461618PantaloonsJuniorBoysPrintedShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
